Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:09:00.792 GMT+0300	1.6152	1.6149	1	1
01.01.2010 00:09:02.791 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:09:12.979 GMT+0300	1.61495	1.6149	1	1
01.01.2010 00:09:36.943 GMT+0300	1.6152	1.6149	1	1
01.01.2010 00:09:50.210 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:10:00.328 GMT+0300	1.6152	1.61485	1	1
01.01.2010 00:10:00.557 GMT+0300	1.61525	1.61485	1	1
01.01.2010 00:10:01.027 GMT+0300	1.61525	1.6148	1	3
01.01.2010 00:10:04.187 GMT+0300	1.61525	1.61485	1	1
01.01.2010 00:10:33.350 GMT+0300	1.61525	1.61485	1	1
01.01.2010 00:10:36.179 GMT+0300	1.61525	1.61485	1	1
01.01.2010 00:10:38.169 GMT+0300	1.61525	1.61485	1	1
01.01.2010 00:10:39.278 GMT+0300	1.61525	1.61485	1	1
01.01.2010 00:10:52.485 GMT+0300	1.61525	1.61485	1	1
01.01.2010 00:10:54.165 GMT+0300	1.61525	1.61485	1	1
01.01.2010 00:11:09.831 GMT+0300	1.61515	1.61485	1	1
01.01.2010 00:11:19.379 GMT+0300	1.61515	1.61495	1	1
01.01.2010 00:11:20.318 GMT+0300	1.61515	1.615	1	1
01.01.2010 00:11:53.110 GMT+0300	1.6152	1.615	1	1
01.01.2010 00:11:53.410 GMT+0300	1.61525	1.615	1	1
01.01.2010 00:12:17.315 GMT+0300	1.61525	1.61505	1	1
01.01.2010 00:13:17.660 GMT+0300	1.61525	1.615	1	1
01.01.2010 00:13:17.840 GMT+0300	1.6153	1.615	1	1
01.01.2010 00:13:18.020 GMT+0300	1.6153	1.6152	1	1
01.01.2010 00:13:18.190 GMT+0300	1.6154	1.6152	1	1
01.01.2010 00:13:35.636 GMT+0300	1.61545	1.6152	2.8	1
01.01.2010 00:13:35.756 GMT+0300	1.61545	1.6152	2.4	1.2
01.01.2010 00:13:38.175 GMT+0300	1.61545	1.6152	2.4	1.3
01.01.2010 00:13:38.535 GMT+0300	1.61545	1.6152	2.4	1.2
01.01.2010 00:13:40.495 GMT+0300	1.61545	1.6152	2.4	1.3
01.01.2010 00:14:02.799 GMT+0300	1.61535	1.6152	1	1.3
01.01.2010 00:14:20.565 GMT+0300	1.61545	1.6152	2.4	1.3
01.01.2010 00:14:28.603 GMT+0300	1.61545	1.6153	2.4	1.6
01.01.2010 00:14:28.773 GMT+0300	1.6157	1.61525	1	1.6
01.01.2010 00:14:28.943 GMT+0300	1.6161	1.6153	1.6	1.6
01.01.2010 00:14:38.661 GMT+0300	1.616	1.6153	1.6	3.2
01.01.2010 00:14:38.881 GMT+0300	1.616	1.6154	1.6	1
01.01.2010 00:14:43.050 GMT+0300	1.616	1.6154	1.6	1.6
