Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:06:29.348 GMT+0300	0.88655	0.8863	4.4	1
01.01.2010 00:06:29.688 GMT+0300	0.88655	0.8863	1	4
01.01.2010 00:06:31.238 GMT+0300	0.88655	0.8863	1	4
01.01.2010 00:06:34.727 GMT+0300	0.88655	0.88635	1	1
01.01.2010 00:06:34.897 GMT+0300	0.88655	0.8863	1	5.6
01.01.2010 00:06:35.138 GMT+0300	0.88655	0.88635	1	1
01.01.2010 00:06:42.996 GMT+0300	0.8866	0.88635	1.2	4
01.01.2010 00:06:43.405 GMT+0300	0.8866	0.88635	1	4
01.01.2010 00:06:43.695 GMT+0300	0.8866	0.88635	4	4
01.01.2010 00:06:44.045 GMT+0300	0.88655	0.88635	1	1
01.01.2010 00:06:45.095 GMT+0300	0.8865	0.8863	1	1
01.01.2010 00:06:53.752 GMT+0300	0.88655	0.8863	4.4	4
01.01.2010 00:06:54.172 GMT+0300	0.88655	0.8863	4	4
01.01.2010 00:07:01.301 GMT+0300	0.88655	0.88635	4	1
01.01.2010 00:07:07.289 GMT+0300	0.88655	0.8863	4	4
01.01.2010 00:07:16.197 GMT+0300	0.88655	0.8863	4	4.1
01.01.2010 00:07:16.467 GMT+0300	0.88655	0.8863	4	4
01.01.2010 00:07:41.041 GMT+0300	0.88655	0.8863	4	1
01.01.2010 00:07:41.281 GMT+0300	0.88655	0.8863	4	4
01.01.2010 00:07:41.951 GMT+0300	0.8865	0.8863	1	1
01.01.2010 00:07:45.400 GMT+0300	0.88655	0.88635	1	1
01.01.2010 00:07:45.580 GMT+0300	0.88655	0.8863	4	4
01.01.2010 00:07:45.910 GMT+0300	0.8865	0.8863	1	1
01.01.2010 00:07:47.000 GMT+0300	0.88655	0.88635	1.2	1
01.01.2010 00:07:47.180 GMT+0300	0.88655	0.88635	1	1
01.01.2010 00:07:49.839 GMT+0300	0.88655	0.88635	1	1.6
01.01.2010 00:08:27.070 GMT+0300	0.88655	0.88635	1	1
01.01.2010 00:08:27.250 GMT+0300	0.88655	0.88635	1	1.6
01.01.2010 00:08:33.148 GMT+0300	0.88655	0.88635	1	1
01.01.2010 00:09:02.719 GMT+0300	0.8864	0.8862	1	1.6
01.01.2010 00:09:02.830 GMT+0300	0.8864	0.8862	1	1.6
01.01.2010 00:09:02.880 GMT+0300	0.8864	0.8862	2.6	1
01.01.2010 00:09:09.738 GMT+0300	0.88641	0.88621	1	2.4
01.01.2010 00:09:09.908 GMT+0300	0.88642	0.88622	2.6	1
01.01.2010 00:09:10.198 GMT+0300	0.88641	0.88626	1	6.4
01.01.2010 00:09:10.368 GMT+0300	0.88644	0.88629	2.2	1.6
01.01.2010 00:09:10.478 GMT+0300	0.88648	0.88628	1	13.4
01.01.2010 00:09:16.969 GMT+0300	0.8865	0.8863	1	10.4
01.01.2010 00:09:20.255 GMT+0300	0.88648	0.88628	1	13.4
01.01.2010 00:09:21.275 GMT+0300	0.88644	0.88624	1	4.8
01.01.2010 00:09:21.395 GMT+0300	0.88641	0.88621	1	13.4
01.01.2010 00:09:23.845 GMT+0300	0.88641	0.88621	1	18.4
01.01.2010 00:09:26.174 GMT+0300	0.88639	0.88619	1	2.4
01.01.2010 00:09:26.344 GMT+0300	0.88638	0.88618	2.6	1
01.01.2010 00:09:26.674 GMT+0300	0.88636	0.88616	1	18.4
01.01.2010 00:09:27.064 GMT+0300	0.88635	0.88615	1	10.4
01.01.2010 00:09:27.424 GMT+0300	0.88636	0.88621	1	18.4
01.01.2010 00:09:35.252 GMT+0300	0.88643	0.88623	2.6	1
01.01.2010 00:09:41.400 GMT+0300	0.88643	0.88623	1	2.4
01.01.2010 00:09:41.800 GMT+0300	0.88643	0.88623	1	2.4
01.01.2010 00:09:58.606 GMT+0300	0.88641	0.88621	1	10.4
01.01.2010 00:09:59.076 GMT+0300	0.88642	0.88622	2.6	1
01.01.2010 00:09:59.196 GMT+0300	0.88644	0.88624	1	1.6
01.01.2010 00:09:59.676 GMT+0300	0.88646	0.88626	1	1.6
01.01.2010 00:10:00.557 GMT+0300	0.8865	0.8863	1	1
01.01.2010 00:10:01.667 GMT+0300	0.88645	0.88625	1	1.2
01.01.2010 00:10:01.957 GMT+0300	0.88645	0.88625	1	1
01.01.2010 00:11:09.481 GMT+0300	0.8865	0.88625	4.4	1
