Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:06:18.965 GMT+0300	1.43164	1.4315	3.4	2.8
01.01.2010 00:06:21.197 GMT+0300	1.43145	1.43141	1.5	2.3
01.01.2010 00:06:21.781 GMT+0300	1.43136	1.43122	2.5	1.5
01.01.2010 00:06:28.737 GMT+0300	1.43128	1.43114	1.5	5.1
01.01.2010 00:06:39.146 GMT+0300	1.43132	1.43118	1.7	2.7
01.01.2010 00:06:39.475 GMT+0300	1.43134	1.43126	1.5	7.4
01.01.2010 00:06:42.991 GMT+0300	1.43143	1.4313	1.5	1.5
01.01.2010 00:06:43.834 GMT+0300	1.43146	1.43134	5.7	2.3
01.01.2010 00:06:51.073 GMT+0300	1.43147	1.43135	1.9	2.5
01.01.2010 00:06:53.187 GMT+0300	1.43147	1.43135	1.5	1.7
01.01.2010 00:06:54.358 GMT+0300	1.43146	1.43136	2.1	3.4
01.01.2010 00:06:56.717 GMT+0300	1.43145	1.43135	2.3	2.6
01.01.2010 00:07:05.315 GMT+0300	1.43147	1.43137	1.5	2.3
01.01.2010 00:07:05.567 GMT+0300	1.43149	1.43142	1.5	1.9
01.01.2010 00:07:08.099 GMT+0300	1.43155	1.43144	3.4	5.3
01.01.2010 00:07:10.183 GMT+0300	1.43157	1.43146	12.8	1.4
01.01.2010 00:07:11.848 GMT+0300	1.43158	1.43146	1.5	1.8
01.01.2010 00:07:14.775 GMT+0300	1.43159	1.43149	2.7	3
01.01.2010 00:07:20.038 GMT+0300	1.43157	1.43147	4.7	1.5
01.01.2010 00:07:26.945 GMT+0300	1.43156	1.43145	2.3	2.1
01.01.2010 00:07:30.925 GMT+0300	1.43151	1.43141	7.4	1.5
01.01.2010 00:07:32.457 GMT+0300	1.43143	1.43139	3	1.7
01.01.2010 00:07:34.185 GMT+0300	1.43143	1.43131	2.5	3
01.01.2010 00:07:36.437 GMT+0300	1.43141	1.43131	1.9	1.5
01.01.2010 00:07:38.458 GMT+0300	1.43146	1.43136	3.2	1.5
01.01.2010 00:07:41.530 GMT+0300	1.43149	1.43141	8.7	1.4
01.01.2010 00:07:43.907 GMT+0300	1.43154	1.43146	2.7	1.7
01.01.2010 00:07:47.487 GMT+0300	1.43158	1.43146	2.7	1.9
01.01.2010 00:07:49.675 GMT+0300	1.43159	1.43149	2.3	1.5
01.01.2010 00:07:53.147 GMT+0300	1.43164	1.43154	1.5	5.1
01.01.2010 00:07:55.247 GMT+0300	1.43169	1.43157	4.9	2.3
01.01.2010 00:07:57.293 GMT+0300	1.43176	1.43166	3	1.7
01.01.2010 00:07:57.719 GMT+0300	1.43179	1.43171	1.9	1.2
01.01.2010 00:08:02.908 GMT+0300	1.43148	1.43138	1.5	1.3
01.01.2010 00:08:05.037 GMT+0300	1.43152	1.43141	1.5	2.1
01.01.2010 00:08:07.698 GMT+0300	1.43158	1.43145	3.8	1.7
01.01.2010 00:08:10.568 GMT+0300	1.43163	1.43151	2.9	1.9
01.01.2010 00:08:12.873 GMT+0300	1.43165	1.43159	1.8	1.4
01.01.2010 00:08:14.949 GMT+0300	1.43169	1.43159	1.5	3.2
01.01.2010 00:08:17.599 GMT+0300	1.43165	1.43153	1.5	1.5
01.01.2010 00:08:20.318 GMT+0300	1.4316	1.43148	1.5	1.5
01.01.2010 00:08:28.904 GMT+0300	1.43155	1.43147	1.5	2.3
01.01.2010 00:08:30.977 GMT+0300	1.43156	1.43143	4.2	2.3
01.01.2010 00:08:33.357 GMT+0300	1.43154	1.43142	1.5	2.7
01.01.2010 00:08:35.507 GMT+0300	1.43152	1.43146	1.7	1.5
01.01.2010 00:08:37.099 GMT+0300	1.43153	1.43139	1.5	1.3
01.01.2010 00:08:39.533 GMT+0300	1.4315	1.4314	2.1	3
01.01.2010 00:08:39.907 GMT+0300	1.43146	1.43136	1.5	2.7
01.01.2010 00:08:40.457 GMT+0300	1.43143	1.43133	14.7	1.7
01.01.2010 00:08:43.286 GMT+0300	1.43142	1.4313	3.8	6.6
01.01.2010 00:08:44.972 GMT+0300	1.43142	1.43137	3.8	1.9
01.01.2010 00:08:45.458 GMT+0300	1.4315	1.43137	1.5	1.5
01.01.2010 00:08:47.683 GMT+0300	1.4315	1.43143	4.5	1.5
01.01.2010 00:08:47.857 GMT+0300	1.43152	1.43145	1.9	1.2
01.01.2010 00:08:53.668 GMT+0300	1.43156	1.43144	1.9	1.6
01.01.2010 00:09:03.840 GMT+0300	1.43156	1.43144	4.5	1.5
01.01.2010 00:09:06.638 GMT+0300	1.43159	1.43145	1.2	1.2
